queue_rank,task_id,target_phase,family,worker_role,task,acceptance,review_points
11,137,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task137について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task137: validation pass, cost < 72472, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
12,145,phase1_6500_bridge,line_grid_fill,low_reasoning_candidate_worker,"task145について、line, ray, and grid grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。","task145: validation pass, cost < 69757, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
13,328,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task328について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task328: validation pass, cost < 68053, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
14,233,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task233について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task233: validation pass, cost < 63540, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
15,366,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task366について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task366: validation pass, cost < 60515, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
16,275,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task275について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task275: validation pass, cost < 59811, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
17,133,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task133について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task133: validation pass, cost < 59322, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
18,209,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task209について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task209: validation pass, cost < 59267, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
19,204,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task204について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task204: validation pass, cost < 56171, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
20,221,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task221について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task221: validation pass, cost < 55869, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
21,13,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task013について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task013: validation pass, cost < 54111, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
22,222,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task222について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task222: validation pass, cost < 52891, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
23,54,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task054について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task054: validation pass, cost < 52411, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
24,303,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task303について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task303: validation pass, cost < 52347, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
25,243,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task243について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task243: validation pass, cost < 51195, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
26,159,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task159について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task159: validation pass, cost < 48739, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
27,128,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task128について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task128: validation pass, cost < 48731, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
28,349,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task349について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task349: validation pass, cost < 49480, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
29,138,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task138について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task138: validation pass, cost < 48467, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
30,338,phase1_6500_bridge,sparse_edit_or_object_completion,low_reasoning_candidate_worker,task338について、sparse edit and object completion enumeratorの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task338: validation pass, cost < 45016, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
31,91,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task091について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task091: validation pass, cost < 43107, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
32,110,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task110について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task110: validation pass, cost < 42363, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
33,80,phase1_6500_bridge,line_grid_fill,low_reasoning_candidate_worker,"task080について、line, ray, and grid grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。","task080: validation pass, cost < 42082, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
34,19,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task019について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task019: validation pass, cost < 40026, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
35,109,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task109について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task109: validation pass, cost < 38755, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
36,216,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task216について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task216: validation pass, cost < 38307, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
37,382,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task382について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task382: validation pass, cost < 37115, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
38,215,phase1_6500_bridge,line_grid_fill,low_reasoning_candidate_worker,"task215について、line, ray, and grid grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。","task215: validation pass, cost < 38094, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
39,191,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task191について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task191: validation pass, cost < 36076, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
40,161,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task161について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task161: validation pass, cost < 34907, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
41,14,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task014について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task014: validation pass, cost < 34851, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
42,17,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task017について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task017: validation pass, cost < 33755, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
43,2,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task002について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task002: validation pass, cost < 33547, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
44,306,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task306について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task306: validation pass, cost < 32802, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
45,231,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task231について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task231: validation pass, cost < 30755, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
46,88,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task088について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task088: validation pass, cost < 30659, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
47,205,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task205について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task205: validation pass, cost < 30083, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
48,392,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task392について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task392: validation pass, cost < 30870, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
49,62,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task062について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task062: validation pass, cost < 30609, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
50,101,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task101について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task101: validation pass, cost < 29435, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
51,324,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task324について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task324: validation pass, cost < 28891, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
52,132,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task132について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task132: validation pass, cost < 29458, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
53,165,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task165について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task165: validation pass, cost < 27835, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
54,278,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task278について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task278: validation pass, cost < 27080, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
55,377,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task377について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task377: validation pass, cost < 26659, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
56,234,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task234について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task234: validation pass, cost < 26619, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
57,384,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task384について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task384: validation pass, cost < 26243, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
58,63,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task063について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task063: validation pass, cost < 26235, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
59,96,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task096について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task096: validation pass, cost < 26948, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
60,33,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task033について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task033: validation pass, cost < 26075, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
61,364,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task364について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task364: validation pass, cost < 26075, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
62,75,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task075について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task075: validation pass, cost < 25851, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
63,264,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task264について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task264: validation pass, cost < 25739, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
64,55,phase1_6500_bridge,region_partition_fill,low_reasoning_candidate_worker,task055について、region and room-fill synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task055: validation pass, cost < 26370, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
65,86,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task086について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task086: validation pass, cost < 25857, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
66,157,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task157について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task157: validation pass, cost < 24780, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
67,92,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task092について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task092: validation pass, cost < 24574, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
68,158,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task158について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task158: validation pass, cost < 24283, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
69,289,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task289について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task289: validation pass, cost < 24972, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
70,11,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task011について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task011: validation pass, cost < 24184, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
71,301,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task301について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task301: validation pass, cost < 24155, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
72,9,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task009について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task009: validation pass, cost < 23611, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
73,310,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task310について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task310: validation pass, cost < 23395, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
74,177,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task177について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task177: validation pass, cost < 23171, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
75,175,phase1_6500_bridge,sparse_edit_or_object_completion,low_reasoning_candidate_worker,task175について、sparse edit and object completion enumeratorの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task175: validation pass, cost < 23859, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
76,285,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task285について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task285: validation pass, cost < 23067, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
77,396,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task396について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task396: validation pass, cost < 22947, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
78,376,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task376について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task376: validation pass, cost < 23413, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
79,387,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task387について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task387: validation pass, cost < 22269, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
80,383,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task383について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task383: validation pass, cost < 22235, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
