queue_rank,task_id,target_phase,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,target_cost,projected_gain_to_target,priority_score,required_system,first_action,preferred_lowerings,reject_lowerings,proof_requirements,worker_acceptance,leakage_risk,private_risk
11,137,phase1_6500_bridge,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,72472,13.809044440650876,9000,2.0859757030307673,34.0507125896568,seed-to-pattern grammar,"identify seed colors and directions; enumerate rays, periodic diagonal shifts, boxes, and reflected motifs; bind colors through roles rather than absolute labels when possible",constant affine coordinate masks; small Conv kernels for line detection; Gather/Where over precomputed row-column masks,per-cell ScatterND table; full-grid iterative ray propagation; Where chain over all periods,direction/period inferred from train examples; sample validation pass; private-like rule note names the invariant; cost is lower than current selected ONNX,"task137: validation pass, cost < 72472, target cost <= 9000, static/banned-op gate pass",medium,medium
12,145,phase1_6500_bridge,line_grid_fill,same_shape_global_transform,afr1ste_5689_artifact,baseline,69757,13.847226946929018,9000,2.0477931967526253,33.63070502059723,"line, ray, and grid grammar",detect complete/incomplete rows and columns; enumerate line extension and crossing rules; fit stop conditions from blockers and colors,ReduceSum row/column masks; small Conv kernels; constant masks plus Where,per-cell ScatterND table; full-grid Tile; long Where chain,line stop condition is explicit; sample validation pass; static shape check pass; cost is lower than current selected ONNX,"task145: validation pass, cost < 69757, target cost <= 9000, static/banned-op gate pass",medium,medium
13,328,phase1_6500_bridge,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,68053,13.871957907660665,9000,2.0230622360209782,33.35866445254912,seed-to-pattern grammar,"identify seed colors and directions; enumerate rays, periodic diagonal shifts, boxes, and reflected motifs; bind colors through roles rather than absolute labels when possible",constant affine coordinate masks; small Conv kernels for line detection; Gather/Where over precomputed row-column masks,per-cell ScatterND table; full-grid iterative ray propagation; Where chain over all periods,direction/period inferred from train examples; sample validation pass; private-like rule note names the invariant; cost is lower than current selected ONNX,"task328: validation pass, cost < 68053, target cost <= 9000, static/banned-op gate pass",medium,medium
14,233,phase1_6500_bridge,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,63540,13.940575092176493,9000,1.9544450515051501,32.60387542287501,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task233: validation pass, cost < 63540, target cost <= 9000, static/banned-op gate pass",medium,medium
15,366,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,60515,13.989353452827295,9000,1.905666690854348,32.41731345571618,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task366: validation pass, cost < 60515, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
16,275,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,59811,14.001055130489064,9000,1.8939650131925791,32.28859500143673,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task275: validation pass, cost < 59811, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
17,133,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,59322,14.009264488874813,9000,1.8857556548068306,32.19829205919349,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task133: validation pass, cost < 59322, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
18,209,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,59267,14.010192062325022,9000,1.8848280813566216,32.188088751241196,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task209: validation pass, cost < 59267, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
19,204,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,56171,14.063844111534255,9000,1.831176032147388,31.597916209939626,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task204: validation pass, cost < 56171, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
20,221,phase1_6500_bridge,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,55869,14.069235056400384,9000,1.8257850872812593,31.18861581641221,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task221: validation pass, cost < 55869, target cost <= 9000, static/banned-op gate pass",medium,medium
21,13,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,54111,14.101207228661691,9000,1.7938129150199522,31.18692192153783,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task013: validation pass, cost < 54111, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
22,222,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,52891,14.124011528952897,9000,1.7710086147287463,30.936074618334565,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task222: validation pass, cost < 52891, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
23,54,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,52411,14.133128228057634,9000,1.761891915624009,30.835790928182455,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task054: validation pass, cost < 52411, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
24,303,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,52347,14.13435009193366,9000,1.760670051747983,30.82235042554617,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task303: validation pass, cost < 52347, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
25,243,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,51195,14.156602849991083,9000,1.73841729369056,30.57757008691452,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task243: validation pass, cost < 51195, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
26,159,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,48739,14.205765190060415,9000,1.6892549536212282,30.03678434615187,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task159: validation pass, cost < 48739, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
27,128,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,48731,14.205929343133523,9000,1.6890908005481204,30.034978662347683,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task128: validation pass, cost < 48731, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
28,349,phase1_6500_bridge,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,49480,14.190676173493577,9000,1.7043439701880665,29.852763528387086,seed-to-pattern grammar,"identify seed colors and directions; enumerate rays, periodic diagonal shifts, boxes, and reflected motifs; bind colors through roles rather than absolute labels when possible",constant affine coordinate masks; small Conv kernels for line detection; Gather/Where over precomputed row-column masks,per-cell ScatterND table; full-grid iterative ray propagation; Where chain over all periods,direction/period inferred from train examples; sample validation pass; private-like rule note names the invariant; cost is lower than current selected ONNX,"task349: validation pass, cost < 49480, target cost <= 9000, static/banned-op gate pass",medium,medium
29,138,phase1_6500_bridge,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,48467,14.211361567031112,9000,1.6836585766505312,29.6252241994742,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task138: validation pass, cost < 48467, target cost <= 9000, static/banned-op gate pass",medium,medium
30,338,phase1_6500_bridge,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,45016,14.285226738886886,9000,1.6097934047947575,28.81270730906069,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task338: validation pass, cost < 45016, target cost <= 9000, static/banned-op gate pass",medium,medium
31,91,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,43107,14.328559324102685,9000,1.5664608195789587,28.686048871686904,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task091: validation pass, cost < 43107, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
32,110,phase1_6500_bridge,signature_lookup_current,same_shape_global_transform,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,42363,14.345969381262638,9000,1.5490507624190055,28.49453824292742,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task110: validation pass, cost < 42363, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
33,80,phase1_6500_bridge,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,42082,14.352624625200743,9000,1.5423955184809,28.071330559608256,"line, ray, and grid grammar",detect complete/incomplete rows and columns; enumerate line extension and crossing rules; fit stop conditions from blockers and colors,ReduceSum row/column masks; small Conv kernels; constant masks plus Where,per-cell ScatterND table; full-grid Tile; long Where chain,line stop condition is explicit; sample validation pass; static shape check pass; cost is lower than current selected ONNX,"task080: validation pass, cost < 42082, target cost <= 9000, static/banned-op gate pass",medium,medium
34,19,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,40026,14.40271547806243,9000,1.4923046656192138,27.87033117812971,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task019: validation pass, cost < 40026, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
35,109,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,38755,14.434984941284387,9000,1.4600352023972558,27.515367082688172,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task109: validation pass, cost < 38755, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
36,216,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,38307,14.44661207390721,9000,1.448408069774434,27.38746862383713,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task216: validation pass, cost < 38307, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
37,382,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,37115,14.478223520448353,9000,1.4167966232332905,27.039742711884553,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task382: validation pass, cost < 37115, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
38,215,phase1_6500_bridge,line_grid_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,38094,14.452187931601495,9000,1.4428322120801482,26.97613418919999,"line, ray, and grid grammar",detect complete/incomplete rows and columns; enumerate line extension and crossing rules; fit stop conditions from blockers and colors,ReduceSum row/column masks; small Conv kernels; constant masks plus Where,per-cell ScatterND table; full-grid Tile; long Where chain,line stop condition is explicit; sample validation pass; static shape check pass; cost is lower than current selected ONNX,"task215: validation pass, cost < 38094, target cost <= 9000, static/banned-op gate pass",medium,medium
39,191,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,36076,14.506616896714402,9000,1.3884032469672416,26.727415572958016,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task191: validation pass, cost < 36076, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
40,161,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,34907,14.539557338855667,9000,1.3554628048259758,26.365070709404094,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task161: validation pass, cost < 34907, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
41,14,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,34851,14.541162889818416,9000,1.353857253863227,26.347409648813855,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task014: validation pass, cost < 34851, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
