priority_rank,task_id,current_cost,current_points,synthesis_family,route_prediction,current_source,current_template,target_phase,required_system,required_lowering,main_blocker,gain_if_cost_le_9000,gain_if_cost_le_3000,gain_if_cost_le_1000,gain_if_cost_le_300
25,243,51196,14.156583,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.738437,2.837049,3.935661,5.139634
26,349,49480,14.190676,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",1.704344,2.802956,3.901569,5.105541
27,159,48740,14.205745,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.689275,2.787888,3.886500,5.090473
28,128,48732,14.205909,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.689111,2.787724,3.886336,5.090309
29,138,48467,14.211362,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,1.683659,2.782271,3.880883,5.084856
30,338,45016,14.285227,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,1.609793,2.708406,3.807018,5.010991
31,91,43108,14.328536,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.566484,2.665096,3.763709,4.967681
32,110,42364,14.345946,signature_lookup_current,same_shape_global_transform,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.549074,2.647687,3.746299,4.950272
33,80,42082,14.352625,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,"line, ray, and grid grammar","precomputed row/column masks, small convolution kernels, sparse ScatterND","needs grammar search across line direction, color role, and stop conditions",1.542396,2.641008,3.739620,4.943593
34,19,40027,14.402690,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.492330,2.590942,3.689554,4.893527
35,109,38756,14.434959,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.460061,2.558673,3.657286,4.861258
36,216,38308,14.446586,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.448434,2.547046,3.645659,4.849632
37,215,38094,14.452188,line_grid_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,"line, ray, and grid grammar","precomputed row/column masks, small convolution kernels, sparse ScatterND","needs grammar search across line direction, color role, and stop conditions",1.442832,2.541445,3.640057,4.844030
38,382,37116,14.478197,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.416824,2.515436,3.614048,4.818021
39,191,36077,14.506589,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.388431,2.487043,3.585656,4.789628
40,161,34908,14.539529,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.355491,2.454104,3.552716,4.756689
41,14,34852,14.541134,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.353886,2.452498,3.551111,4.755083
42,17,33756,14.573087,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.321934,2.420546,3.519158,4.723131
43,2,33548,14.579267,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.315753,2.414365,3.512977,4.716950
44,306,32803,14.601725,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.293295,2.391908,3.490520,4.694493
45,392,30870,14.662460,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",1.232560,2.331173,3.429785,4.633758
46,231,30756,14.666160,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.228861,2.327473,3.426085,4.630058
47,88,30660,14.669286,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.225734,2.324347,3.422959,4.626932
48,62,30609,14.670951,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",1.224070,2.322682,3.421294,4.625267
49,205,30084,14.688251,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.206769,2.305381,3.403993,4.607966
50,132,29458,14.709279,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",1.185741,2.284353,3.382966,4.586938
51,101,29436,14.710026,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.184994,2.283606,3.382218,4.586191
52,324,28892,14.728680,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.166340,2.264952,3.363565,4.567538
53,165,27836,14.765915,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.129106,2.227718,3.326330,4.530303
54,278,27081,14.793412,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.101608,2.200220,3.298832,4.502805
55,96,26948,14.798336,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,1.096685,2.195297,3.293909,4.497882
56,377,26660,14.809080,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.085940,2.184552,3.283164,4.487137
57,234,26620,14.810582,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.084438,2.183051,3.281663,4.485636
58,55,26370,14.820018,region_partition_fill,same_shape_global_transform,afr1ste_5689_artifact,baseline,phase1_6500_bridge,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,1.075002,2.173615,3.272227,4.476200
59,384,26244,14.824807,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.070213,2.168825,3.267437,4.471410
60,63,26236,14.825112,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.069908,2.168520,3.267133,4.471105
61,33,26076,14.831229,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.063791,2.162403,3.261015,4.464988
62,364,26076,14.831229,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.063791,2.162403,3.261015,4.464988
63,86,25857,14.839663,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",1.055357,2.153969,3.252581,4.456554
64,75,25852,14.839857,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.055163,2.153776,3.252388,4.456361
65,264,25740,14.844199,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.050822,2.149434,3.248046,4.452019
66,289,24972,14.874490,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,1.020531,2.119143,3.217755,4.421728
67,157,24781,14.882167,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.012853,2.111465,3.210077,4.414050
68,92,24575,14.890515,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.004505,2.103117,3.201730,4.405702
69,158,24284,14.902427,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.992593,2.091205,3.189818,4.393791
70,11,24185,14.906512,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.988508,2.087120,3.185733,4.389705
71,301,24156,14.907712,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.987308,2.085921,3.184533,4.388506
72,175,23859,14.920083,sparse_edit_or_object_completion,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,baseline,phase1_6500_bridge,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.974937,2.073549,3.172162,4.376134
73,9,23612,14.930490,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.964530,2.063143,3.161755,4.365728
74,376,23413,14.938953,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.956067,2.054679,3.153291,4.357264
75,310,23396,14.939680,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.955340,2.053953,3.152565,4.356538
76,177,23172,14.949300,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.945720,2.044332,3.142945,4.346917
77,285,23068,14.953798,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.941222,2.039834,3.138446,4.342419
78,396,22948,14.959014,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.936006,2.034618,3.133231,4.337204
79,268,22387,14.983764,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",0.911256,2.009868,3.108480,4.312453
80,387,22270,14.989004,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.906016,2.004628,3.103240,4.307213
81,383,22236,14.990532,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.904488,2.003100,3.101713,4.305685
82,201,22225,14.991027,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.903993,2.002605,3.101218,4.305191
83,148,22029,14.999885,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.895135,1.993747,3.092360,4.296333
84,74,21825,15.009189,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.885832,1.984444,3.083056,4.287029
85,240,21628,15.018256,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.876764,1.975376,3.073989,4.277962
86,308,21188,15.038810,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.856210,1.954823,3.053435,4.257408
